,4ZSD_AD06_VBELN,4ZSD_AD06_POSNR,4ZSD_AD06_UEPOS,0PLANT,0PLANT___T,0UPD_DATE,4ZSD_AD06_ERDAT,4ZSD_AD06_GEWEI,4ZSD_AD06_GEWEI___T,4ZSD_AD06_GRKOR,4ZSD_AD06_GSBER,4ZSD_AD06_KONDM,4ZSD_AD06_LPRIO,4ZSD_AD06_MATKL,4ZSD_AD06_MATNR,4ZSD_AD06_MFRGR,4ZSD_AD06_PRCTR,4ZSD_AD06_PSTYV,4ZSD_AD06_ROUTE,4ZSD_AD06_STKEY,4ZSD_AD06_STLNR,4ZSD_AD06_STLTY,4ZSD_AD06_VOLEH,4ZSD_AD06_VOLEH___T,4ZSD_AD06_VSTEL,4ZSD_AD06_ZZCARTIND,4ZSD_AD06_ZZCONF_DELV,4ZSD_AD06_ZZCONF_MAD,4ZSD_AD06_ZZCONPATH,4ZSD_AD06_ZZCUSTREQDATE,4ZSD_AD06_ZZLINEPACKAGE,4ZSD_AD06_ZZMPBLDDATE,4ZSD_AD06_ZZORGDLRDLVYDATE,4ZSD_AD06_ZZPACKVORSCHR,4ZSD_AD06_ZZPRCQTE,4ZSD_AD06_ZZTUSPCLIND,4ZSD_AD06_BRGEW,4ZSD_AD06_KBMENG,4ZSD_AD06_NTGEW,4ZSD_AD06_VOLUM,4ZSD_AD06_ZZLINEVOLUME,4ZSD_AD06_ZZLINEWEIGHT
0,0007227476,000010,000000,Z100,GR-Unsupported Products,00000000,20180625,LB,Pound,000,9020,01,50,P09,SPOC,BC,P00154,ZRON,TS01,,,,CF,Cubic foot,EP00,C,20200625,20200619,GM2EP,20200625,00002,00000000,20180104,C,,,100.002000000000000000,2.000000000000000000,100.002000000000000000,120.002000000000000000,120.004000000000000000,100.004000000000000000
1,0007236281,000428,000390,5500,SC Wood Plant,20200710,20200602,LB,Pound,015,9020,,50,T01,215073_PP,BB,P00007,ZSL,TS01,1,01521905,M,CF,Cubic foot,EP00,C,20200707,20200630,GM2EP,20200707,00001,20200625,00000000,C,,,343.046000000000000000,22.000000000000000000,343.046000000000000000,64.592000000000000000,145.333000000000000000,391.232000000000000000
2,0007236284,000200,000190,8300,AMEX Plant,20210126,20180704,LB,Pound,009,9020,,50,T01,TS5HLB2442T001,BB,P00179,ZSL,TS01,1,00255775,M,CF,Cubic foot,EP00,C,20210223,20210215,SC2EP,20210223,00001,20210211,20201005,C,16Z06806,,50.804000000000000000,1.000000000000000000,50.804000000000000000,0.001000000000000000,5.402000000000000000,57.436000000000000000
3,0007238833,000180,000000,8300,AMEX Plant,20201103,20180706,LB,Pound,002,9020,04,50,P01,HS2L3,CH,P00179,ZSH,TS01,5,,M,CF,Cubic foot,EP00,C,20201228,20201216,SC2EP,20201228,00000,20201215,20191206,,18Z02615,,0E-18,4.000000000000000000,0E-18,0E-18,0E-18,0E-18
4,0007238834,000350,000340,6000,Kentwood Plant,20201105,20200805,LB,Pound,015,9020,,50,T01,157205002002,BC,P00011,ZSL,TS01,1,01281665,M,CF,Cubic foot,EP00,C,20201106,20201102,GM2EP,20201106,00002,20201111,00000000,C,18Z02615,,104.166000000000000000,2.000000000000000000,104.166000000000000000,0.002000000000000000,2.706000000000000000,107.826000000000000000
5,0007401423,001000,000990,8300,AMEX Plant,20200601,20181128,LB,Pound,039,9020,01,50,T01,8231283001,BB,P00179,ZSL,TS01,1,01308885,M,CF,Cubic foot,NG00,C,20200618,20200610,SC2NG,20200616,00001,20200609,20190502,C,18Z06943,,107.695000000000000000,1.000000000000000000,107.695000000000000000,0.999000000000000000,18.957000000000000000,108.424000000000000000
6,0007403954,000010,000000,8300,AMEX Plant,20200812,20181130,LB,Pound,009,9020,01,50,P01,BFRQ36,BB,P00179,ZSH,TS01,5,,M,CF,Cubic foot,EP00,C,20200811,20200803,SC2EP,20200811,00000,20200730,20190822,C,17Z06095,,0E-18,2.000000000000000000,0E-18,0E-18,0E-18,0E-18
7,0007403954,000180,000170,8900,Reynosa Plant (US),20200729,20181130,LB,Pound,017,9020,01,50,T01,201025_CHR,CH,P00185,ZSL,TS01,1,01289106,M,CF,Cubic foot,EP00,U,20200811,20200803,RT2EP,20200811,00008,20200731,20190822,U,17Z06095,,526.696000000000000000,8.000000000000000000,526.696000000000000000,131.344000000000000000,131.424000000000000000,568.616000000000000000
8,0007472635,000720,000000,8300,AMEX Plant,20200730,20190208,LB,Pound,062,9020,01,50,P01,WS2448,BC,P00179,ZSH,TS01,5,,M,CF,Cubic foot,EP00,C,20200811,20200803,SC2EP,20200811,00000,20200729,20190520,C,18Z09037,,0E-18,1.000000000000000000,0E-18,0E-18,0E-18,0E-18
9,0007507558,000220,000210,8300,AMEX Plant,20200507,20190311,LB,Pound,008,9020,,50,T01,TS5TLDS2466001,BX,P00179,ZSL,TS02,1,00245004,M,CF,Cubic foot,GM00,C,20200527,20200518,SC2GM,20200508,00001,20200514,20191223,C,18Z05340,,115.415000000000000000,1.000000000000000000,115.415000000000000000,0.001000000000000000,8.082000000000000000,131.436000000000000000
10,0007507558,000840,000810,8800,Finished Goods,20200512,20190311,LB,Pound,032,9020,,50,T01,17277501,BC,P00019,ZSVC,TS02,,00531988,M,CF,Cubic foot,GM00,C,20200527,20200521,,20200508,00001,20200521,20191223,C,18Z05340,,11.400000000000000000,3.000000000000000000,11.400000000000000000,0.150000000000000000,0.573000000000000000,14.400000000000000000
11,0007507558,002280,002250,4000,Athens Plant,20200513,20190311,LB,Pound,076,9020,,50,T01,T522483,BC,P00045,ZSL,TS02,5,01371137,M,CF,Cubic foot,GM00,C,20200527,20200519,AA2GM,20200506,00001,20200518,20191223,C,18Z05340,,0.035000000000000000,1.000000000000000000,0.035000000000000000,0.999000000000000000,2.224000000000000000,4.535000000000000000
12,0007507558,006190,006180,8300,AMEX Plant,20200527,20190311,LB,Pound,198,9020,,50,T01,TS5LBBF23U001,C3,P00179,ZSL,TS02,1,00245418,M,CF,Cubic foot,GM00,C,20200527,20200518,SC2GM,20200508,00004,20200512,20191223,C,18Z05340,,248.972000000000000000,4.000000000000000000,248.972000000000000000,0.040000000000000000,206.528000000000000000,264.928000000000000000
13,0007507558,007830,000000,8900,Reynosa Plant (US),20201125,20190311,LB,Pound,245,9020,01,50,P01,N3LCUBEL,BC,P00185,ZSH,TS02,5,,M,CF,Cubic foot,GM00,C,20200615,20200605,RT2GM,20200506,00000,20200528,20191223,C,18Z05340,,0E-18,4.000000000000000000,0E-18,0E-18,0E-18,0E-18
14,0007542620,000150,000130,4000,Athens Plant,00000000,20190410,LB,Pound,999,9020,,50,T01,PFEX_DOOR_003,BC,P00045,ZSL,TS01,1,00975531,M,CF,Cubic foot,GM99,C,20200410,20200406,AA2GM,20200410,00001,00000000,20200410,C,,,32.392000000000000000,1.000000000000000000,32.392000000000000000,0.001000000000000000,4.671000000000000000,38.770000000000000000
15,0007542624,000020,000010,4000,Athens Plant,00000000,20190410,LB,Pound,999,9020,,50,T01,QCFA,BC,P00045,ZSL,TS01,5,00942690,M,CF,Cubic foot,GM99,C,20200410,20200406,AA2GM,20200410,00001,00000000,20200410,C,,,3.560000000000000000,5.000000000000000000,3.560000000000000000,0.500000000000000000,0.100000000000000000,3.760000000000000000
16,0007542624,000510,000490,4000,Athens Plant,00000000,20190410,LB,Pound,999,9020,,50,T01,PFEX_DOOR_025,BC,P00045,ZSL,TS01,1,00978330,M,CF,Cubic foot,GM99,C,20200410,20200406,AA2GM,20200410,00001,00000000,20200410,C,,,1.705000000000000000,1.000000000000000000,1.705000000000000000,0.001000000000000000,0.251000000000000000,1.995000000000000000
17,0007596519,000735,000710,5500,SC Wood Plant,00000000,20190618,LB,Pound,999,9020,02,50,T01,Y559612KT,DK,P00007,ZSL,TS01,1,01166331,M,CF,Cubic foot,EP00,C,20200402,20200327,GM2EP,20200402,00001,00000000,00000000,C,19Z00188,,0.608000000000000000,4.000000000000000000,0.608000000000000000,0.004000000000000000,0.240000000000000000,0.868000000000000000
18,0007596519,000960,000950,4500,Consolidated Customer Service,00000000,20190529,LB,Pound,999,9020,01,50,T01,100482_PP,DT,P00002,ZAK,TS01,1,00880290,M,CF,Cubic foot,EP00,C,20200402,20200327,GM2EP,20200402,00001,00000000,20191104,C,19Z00188,,0.070000000000000000,1.000000000000000000,0.070000000000000000,0.001000000000000000,0.052000000000000000,0.820000000000000000
19,0007625677,000010,000000,9900,Steelcase Corp. Administration,00000000,20190624,KG,Kilogram,000,9020,,50,,DODINSTALL,,P00063,SVM,,,,,,,,C,20200909,20200909,,20200909,00000,00000000,20190624,,14Z04777,,0E-18,1.000000000000000000,0E-18,0E-18,0E-18,0E-18
20,0007626374,000110,000000,4000,Athens Plant,00000000,20190624,LB,Pound,999,9020,01,50,P01,ZTSE1820,BC,P00045,ZSH,TS01,5,,M,CF,Cubic foot,GM00,C,20200907,20200831,AA2GM,20200907,00000,00000000,20200907,,,,0E-18,1.000000000000000000,0E-18,0E-18,0E-18,0E-18
21,0007628943,001370,001360,8300,AMEX Plant,20200609,20190625,LB,Pound,051,9020,,50,T01,60465771001,BB,P00179,ZSL,TS01,1,00400467,M,CF,Cubic foot,EP00,C,20200630,20200622,SC2EP,20200605,00001,20200617,20191018,C,15Z01487,,67.286000000000000000,1.000000000000000000,67.286000000000000000,0.999000000000000000,14.217000000000000000,68.015000000000000000
22,0007630342,000020,000010,4000,Athens Plant,00000000,20190626,LB,Pound,999,9020,,50,T01,Z3318108,BC,P00045,ZSL,TS01,1,00465398,M,CF,Cubic foot,GM00,C,20200909,20200902,AA2GM,20200909,00001,00000000,20200909,C,,,2.948000000000000000,1.000000000000000000,2.948000000000000000,0.200000000000000000,1.300000000000000000,7.248000000000000000
23,0007631040,001400,000000,8300,AMEX Plant,20200420,20190627,LB,Pound,039,9020,01,50,P01,BFS3048,BB,P00179,ZSH,TS02,5,,M,CF,Cubic foot,GM00,C,20200407,20200330,SC2GM,20200407,00000,20200326,20200408,,18Z01333,,0E-18,1.000000000000000000,0E-18,0E-18,0E-18,0E-18
24,0007633394,001460,001430,4000,Athens Plant,20200527,20190628,LB,Pound,039,9020,,50,T01,T522175,DL,P00045,ZSL,TS07,5,00936494,M,CF,Cubic foot,GM00,C,20200325,20200311,AA2GM,20200325,00002,20200303,20200414,C,18Z07974,,86.564000000000000000,2.000000000000000000,86.564000000000000000,1.998000000000000000,6.594000000000000000,89.844000000000000000
25,0007633394,002670,000000,8800,Finished Goods,20200527,20190628,LB,Pound,071,9020,01,50,P01,PWBWTBRD,BC,P00190,ZSC,TS07,5,,M,CF,Cubic foot,GM00,C,20200519,20200507,,20200403,00000,20200507,20200427,C,18Z07974,,0E-18,1.000000000000000000,0E-18,0E-18,0E-18,0E-18
26,0007633394,003120,000000,8800,Finished Goods,20200523,20190628,LB,Pound,000,9020,01,50,P01,TS4L27TG4,BL,P00019,CON,TS07,5,,M,CF,Cubic foot,GM00,C,20200403,20200324,,20200403,00002,20200324,20200427,C,18Z07974,,40.000000000000000000,2.000000000000000000,40.000000000000000000,1.998000000000000000,10.900000000000000000,46.000000000000000000
27,0007633395,002150,002120,4000,Athens Plant,20200702,20190629,LB,Pound,052,9020,01,50,T01,T530536,BC,P00045,ZSL,TS07,5,00840284,M,CF,Cubic foot,GM00,C,20200629,20200615,AA2GM,20200629,00002,20200611,20200629,C,18Z07974,,8.460000000000000000,12.000000000000000000,8.460000000000000000,11.988000000000000000,1.864000000000000000,10.860000000000000000
28,0007634097,000360,000320,8800,Finished Goods,20200701,20190628,LB,Pound,008,9020,04,50,T01,24751201,FR,P00019,ZSVC,TS07,,01302621,M,CF,Cubic foot,GM00,C,20200709,20200626,,20200709,00001,20200626,20200713,C,18Z07974,,3.200000000000000000,1.000000000000000000,3.200000000000000000,1.500000000000000000,1.750000000000000000,6.300000000000000000
29,0007666703,000740,000000,4000,Athens Plant,20200514,20190731,LB,Pound,068,9020,01,50,P01,RPF2427AL,BC,P00045,ZSH,TS01,5,,M,CF,Cubic foot,NT00,C,20200521,20200515,AA2NT,20200413,00000,20200515,20200413,,18Z08560,,0E-18,10.000000000000000000,0E-18,0E-18,0E-18,0E-18
30,0007666703,001120,001110,4000,Athens Plant,20200423,20190731,LB,Pound,070,9020,01,50,T01,104015,BL,P00045,ZSL,TS01,1,01356735,M,CF,Cubic foot,NT00,C,20200521,20200515,AA2NT,20200413,00006,20200515,20200413,C,18Z08560,,333.762000000000000000,6.000000000000000000,333.762000000000000000,52.320000000000000000,65.400000000000000000,366.162000000000000000
31,0007666703,001790,001770,8800,Finished Goods,20200507,20190731,LB,Pound,064,9020,,50,T01,801900135,BC,P00019,ZSVC,TS01,,00238282,M,CF,Cubic foot,NT00,C,20200526,20200518,GM2NT,20200413,00002,20200518,20200413,C,18Z08560,,44.000000000000000000,2.000000000000000000,44.000000000000000000,0.200000000000000000,0.572000000000000000,44.004000000000000000
32,0007667580,001120,000000,4000,Athens Plant,20200427,20190801,LB,Pound,011,9020,01,25,P01,TS766TEPJ,BC,P00045,ZSH,TS02,5,,M,CF,Cubic foot,NG00,C,20200402,20200326,AA2NG,20200402,00000,20200325,20190829,C,16Z01221,,0E-18,5.000000000000000000,0E-18,0E-18,0E-18,0E-18
33,0007667580,001160,000000,4000,Athens Plant,20200427,20190801,LB,Pound,000,9020,01,25,P01,TS76024TK,BC,P00045,ZSP,TS02,5,,M,CF,Cubic foot,NG00,C,20200402,20200326,AA2NG,20200402,00002,20200325,20190829,C,16Z01221,,54.672000000000000000,8.000000000000000000,54.672000000000000000,7.992000000000000000,11.374000000000000000,54.676000000000000000
34,0007671327,000550,000000,1010,Selling from Stock Kentwood,20200503,20190805,LB,Pound,022,9020,01,50,P01,TS130TLCWD,C3,P00191,ZSH,TS01,5,,M,CF,Cubic foot,NT00,C,20200511,20200504,GM2NT,20200511,00000,20200417,20200413,C,03Z00444,,0E-18,4.000000000000000000,0E-18,0E-18,0E-18,0E-18
35,0007682317,000180,000160,4000,Athens Plant,20200507,20190814,LB,Pound,999,9020,01,50,T01,T510915,BC,P00045,ZSL,TS01,5,00840281,M,CF,Cubic foot,NT00,C,20200601,20200526,AA2NT,20200601,00001,00000000,20191101,C,19Z00828,,8.400000000000000000,2.000000000000000000,8.400000000000000000,0.004000000000000000,1.910000000000000000,10.950000000000000000
36,0007682317,000800,000790,8800,Finished Goods,20200507,20190814,LB,Pound,999,9020,,50,T01,23436401,DI,P00019,ZSVC,TS01,L,01307671,M,CF,Cubic foot,NT00,C,20200601,20200522,GM2NT,20200601,00001,00000000,20191101,C,19Z00828,,1.637000000000000000,0E-18,1.637000000000000000,0.163000000000000000,0.315000000000000000,3.637000000000000000
37,0007685399,000190,000160,4000,Athens Plant,20200702,20190816,LB,Pound,001,9020,,50,T01,1346329001,BC,P00046,ZAK,TS02,1,01451969,M,CF,Cubic foot,GM00,C,20200713,20200706,AA2GM,20200713,00001,20200701,20190816,C,10Z01881,,6.978000000000000000,1.000000000000000000,6.978000000000000000,0.001000000000000000,2.378000000000000000,11.978000000000000000
38,0007686265,000810,000000,8800,Finished Goods,20200518,20190816,LB,Pound,038,9020,01,72,P01,WESINDPD,BC,P00019,ZSC,TS02,5,,M,CF,Cubic foot,WW00,C,20200618,20200609,GM2WW,20200415,00000,20200609,20190816,,19Z03915,,0E-18,1.000000000000000000,0E-18,0E-18,0E-18,0E-18
39,0007686279,000010,000000,8300,AMEX Plant,20200710,20190816,LB,Pound,001,9020,01,50,P01,N3LBA1200,BC,P00179,ZSH,TS01,5,,M,CF,Cubic foot,NT00,C,20200709,20200701,SC2NT,20200521,00000,20200701,20190816,,19Z03915,,0E-18,1.000000000000000000,0E-18,0E-18,0E-18,0E-18
40,0007686299,000750,000000,8800,Finished Goods,20200507,20190816,LB,Pound,031,9020,01,58,P01,SYLVIPWPASS,BC,P00019,ZSC,TS01,5,,M,CF,Cubic foot,NT00,C,20200526,20200518,GM2NT,20200428,00000,20200518,20190816,,19Z03915,,0E-18,1.000000000000000000,0E-18,0E-18,0E-18,0E-18
41,0007688365,001360,001340,4000,Athens Plant,20200701,20190819,LB,Pound,115,9020,01,50,T01,T510919,BC,P00045,ZSL,TS01,5,00841949,M,CF,Cubic foot,EP00,C,20200720,20200713,AA2EP,20200720,00001,20200713,20191011,C,18Z08665,,4.790000000000000000,1.000000000000000000,4.790000000000000000,0.999000000000000000,2.970000000000000000,8.890000000000000000
42,0007699061,000070,000010,8800,Finished Goods,20200423,20190828,LB,Pound,001,9020,04,50,T01,24751201,FR,P00019,ZSVC,TS02,,01302624,M,CF,Cubic foot,CC00,C,20200602,20200522,GM2CC,20200406,00001,20200522,20200406,C,19Z04919,,3.200000000000000000,1.000000000000000000,3.200000000000000000,1.500000000000000000,1.750000000000000000,6.300000000000000000
43,0007701622,000060,000050,8800,Finished Goods,20200708,20190829,LB,Pound,003,9020,04,50,T01,22598202,BB,P00019,ZSVC,TS02,,01270537,M,CF,Cubic foot,NG00,C,20200731,20200723,GM2NG,20200731,00003,20200723,20200327,C,15Z02675,,65.640000000000000000,3.000000000000000000,65.640000000000000000,3.000000000000000000,9.681000000000000000,65.646000000000000000
44,0007701623,000160,000000,4000,Athens Plant,20200714,20190829,LB,Pound,000,9020,01,50,P01,RBKHWM48,DK,P00045,ZSP,TS02,5,,M,CF,Cubic foot,NG00,C,20200803,20200727,AA2NG,20200803,00005,20200723,20200327,C,15Z02675,,161.930000000000000000,10.000000000000000000,161.930000000000000000,29.000000000000000000,10.550000000000000000,171.930000000000000000
45,0007701623,000510,000500,8300,AMEX Plant,20200713,20190829,LB,Pound,020,9020,,50,T01,60408791001,BB,P00179,ZSL,TS02,1,00401109,M,CF,Cubic foot,NG00,C,20200803,20200723,SC2NG,20200803,00001,20200721,20200327,C,15Z02675,,1809.801000000000000000,23.000000000000000000,1809.801000000000000000,0.023000000000000000,245.250000000000000000,1853.794000000000000000
46,0007701626,000140,000000,4000,Athens Plant,20200714,20190829,LB,Pound,001,9020,01,50,P01,RBB72TAK,A5,P00045,ZSH,TS02,5,,M,CF,Cubic foot,NG00,C,20200731,20200724,AA2NG,20200731,00000,20200723,20200327,C,15Z02675,,0E-18,32.000000000000000000,0E-18,0E-18,0E-18,0E-18
47,0007703712,000190,000180,8900,Reynosa Plant (US),20200417,20190903,LB,Pound,009,9020,01,50,T01,158075_PP,CH,P00185,ZSL,TS02,1,01263411,M,CF,Cubic foot,NG00,U,20200406,20200326,RT2NG,20200406,00004,20200325,20191202,U,07Z03403,,211.348000000000000000,4.000000000000000000,211.348000000000000000,66.084000000000000000,66.088000000000000000,214.712000000000000000
